Domain,Team_Size,Project_Number,Project_Title,Difficulty,Research_Question,Approach_Methodology,Required_Skills,Dataset_Suggestions,Timeline_Summary,Deliverables,Target_Conferences,Expected_Acceptance_Rate,Key_Papers,Potential_Challenges,Why_Publishable
Computer Science,4-person,1,End-to-End MLOps Pipeline for Tabular ML Benchmarks,Advanced,What are practical trade-offs between different open-source MLOps stacks for reproducible tabular ML pipelines?,"Build same pipeline on 2-3 tabular tasks using two toolchains (MLflow+DVC vs W&B+Git); compare ease of use, tracking quality, reproducibility","Python, scikit-learn/LightGBM, DevOps (Git, CI), cloud/Colab Pro","UCI Adult, Credit Default; Kaggle tabular competitions","1-2: Requirements & MLOps lit; 3-4: Build baseline pipelines; 5-7: Generalize & integrate tracking; 8-9: Run systematic experiments; 10: Comparative analysis; 11-12: Write & submit","Two reference MLOps pipelines, documentation, comparison tables, 8-10 page paper","Data engineering/analytics conferences; AI & Big Data Expo; NeurIPS/ICML MLOps workshops",35-50%,"MLOps surveys; ML experiment tracking and reproducibility papers","Keeping scope narrow; Making evaluation criteria objective",Concrete comparative case studies of MLOps tools with reproducible code
Computer Science,4-person,2,Multi-Modal Fake News Detection (Text + Images),Advanced,Does adding image information to text-based fake news classifiers significantly improve detection accuracy?,Build text-only/image-only/fused models on multi-modal fake news datasets and compare,"Python, PyTorch, NLP (transformers), CNNs, multimodal fusion","Fakeddit; Weibo fake news; Public fact-checking datasets","One: data collection/cleaning; Two: text & vision modeling; One: fusion + evaluation","Multi-modal models, ablation study, confusion analyses, 8-10 page paper","NeurIPS/ICML misinformation workshops; Computational social science workshops; AAAI Student Abstracts",35-45%,"Multi-modal fake news detection papers; BERT; ResNet","Data imbalance and noisy labels; Aligning modalities when missing one",Well-executed comparison with clear social impact
Computer Science,4-person,3,Benchmarking LLM Prompting vs. Fine-Tuning for Text Classification,Advanced,"For small/medium text classification tasks, when is prompting enough vs. when is fine-tuning preferable?","Use 2-3 classification datasets, evaluate zero/few-shot prompting of open LLMs vs. fine-tuned smaller models; compare accuracy, cost, latency","Python, Hugging Face, API usage, cost modeling","AG News; DBPedia; Yelp/Amazon reviews","Prompting+evaluation, fine-tuning pipelines, cost analysis, writing","Benchmark scripts, cost/accuracy charts, 8-10 page paper","NeurIPS/ICML LLM workshops; AAAI Student Abstracts; Data science conferences",35-45%,"Language Models are Few-Shot Learners (GPT-3); LLM evaluation studies","API constraints/costs; Designing fair prompt templates",Concrete data-backed guidance on fine-tuning vs. prompting
Computer Science,4-person,4,Comparative Study of Semi-Supervised Learning on Image Benchmarks,Advanced,How do different semi-supervised methods compare on CIFAR-10/100 when labeled data is scarce?,"Implement Pseudo-labeling/FixMatch/MixMatch, fix labeled vs. unlabeled budget, benchmark","PyTorch, deep learning, SSL techniques","CIFAR-10/100; SVHN","One per method (three students) + one for shared evaluation/infra","SSL benchmark, ablation results, 8-10 page paper","NeurIPS/ICML SSL workshops; IEEE ICDM UGHS; AAAI Student Abstracts",30-45%,"MixMatch, FixMatch papers; SSL surveys","Training stability and cost; Fair hyperparameter tuning",Standardized small-scale SSL benchmark
Computer Science,4-person,5,Evaluating Explainable AI Methods on Tabular Health Data,Intermediate-Advanced,How consistent and stable are different feature attribution methods across multiple health-related tabular datasets?,"Train gradient boosting/NN on health datasets, compute attributions using SHAP/LIME/permutation importance, compare stability across seeds and splits","Python, scikit-learn, XGBoost, SHAP/LIME","UCI Heart Disease; Diabetes; Framingham Heart Study","Two: modeling; One: explainability pipeline; One: statistical analysis & viz","Attribution stability metrics, visualizations, 8-10 page paper","AI for healthcare/BHI; AI for Science workshops; Data science healthcare tracks",35-50%,"SHAP (Lundberg & Lee); Feature attribution critiques","Designing stability metrics; Interpreting disagreements",Addresses interpretability reliability concern with concrete medical-style evaluation
Computer Science,6-person,1,Comprehensive Benchmark of Educational Data Mining Models on Student Performance,Advanced,"Across multiple education datasets, which ML models perform best at predicting student performance, and what features matter most?","Aggregate 3-4 education datasets; standardize preprocessing; benchmark models; analyze fairness and interpretability","Python, scikit-learn, light deep learning, fairness metrics","UCI Student Performance; Open edX/MOOC logs; Public educational ML datasets","1-2: Scoping & lit review; 3-5: Data integration & baseline modeling; 6-8: Advanced modeling & fairness; 9-10: Cross-dataset comparisons; 11-12: Write & submit","Unified benchmark repo, dashboards, 10-12 page paper","Educational data mining conferences; IEEE ICDM UGHS; AAAI Student Abstracts/Undergraduate Consortium",35-50%,"Educational data mining surveys; Student performance prediction studies","Handling heterogeneous features; Avoiding data leakage",Multi-dataset benchmark in important domain with reproducible protocols
Computer Science,6-person,2,Open Benchmark of Small LLMs for Question Answering across Domains,Advanced,How do small open-source LLMs perform on QA across multiple domains when used with retrieval?,"Implement retrieval-augmented QA system; use QA datasets from multiple domains (Wikipedia, science, finance, law); compare several small LLMs","Python, vector databases (FAISS), Transformers, evaluation metrics","SQuAD-style Wikipedia; Science QA (ARC); Finance and law QA from open corpora","1-2: Requirements & toolchain selection; 3-4: Build baseline; 5-7: Generalize to more datasets; 8-9: Systematic experiments; 10: Comparative analysis; 11-12: Write & submit","End-to-end RAQA system, evaluation plots, 10-12 page paper","NeurIPS/ICML QA and LLM workshops; AAAI Student Abstracts; Data science conferences",30-40%,"RAG-style QA papers; Core LLM QA benchmarks","Managing context length and retrieval quality; Evaluating beyond exact match",Benchmarks small accessible LLMs in transparent pipeline
Computer Science,6-person,3,Automated Evaluation of Generative Image Models for Fairness and Bias,Advanced,What demographic and content biases appear in open-source text-to-image models?,Define prompt sets; generate images; use detectors/classifiers to quantify bias; test mitigation strategies,"Python, Stable Diffusion pipelines, basic CV, statistics","Stable Diffusion/similar open models; Fairness detection tools (FairFace)","1-2: Requirements & lit review; 3-5: Build pipeline; 6-8: Advanced modeling; 9-10: Cross-dataset comparisons; 11-12: Write & submit","Prompt suite, bias metrics, mitigation experiments, 10-12 page paper","Fairness/Responsible AI workshops (NeurIPS/AAAI); AAAI Student Abstracts",35-45%,"Generative model bias papers; Fairness metrics in ML","Designing rigorous bias metrics; Handling sensitive outputs ethically",Reusable prompt suite and evaluation protocol for generative-model fairness
Computer Science,6-person,4,Large-Scale Analysis of Open-Source Software Repositories with Graph ML,Advanced,Can graph ML on dependency or call graphs improve bug-proneness prediction compared to flat feature models?,"Construct graphs from open-source projects; label modules as bug-prone using issue/commit history; compare GNNs vs classical baselines","Python, static analysis tools, PyTorch Geometric, Git scraping","Public GitHub repos; PROMISE bug prediction datasets","1-2: Scoping & lit review; 3-5: Data integration & baseline; 6-8: Advanced modeling; 9-10: Cross-dataset comparisons; 11-12: Write & submit","Graph dataset, GNN models, 10-12 page paper","Mining Software Repositories venues; IEEE/ACM software engineering student tracks; IEEE ICDM UGHS",30-45%,"MSR bug prediction literature; GNN applications to code","Building reliable labels from Git; Scaling graph models",Novel GNN application to bug prediction with newly constructed dataset
Computer Science,6-person,5,Comparative Study of Reinforcement Learning Algorithms in Traffic Signal Control Simulations,Advanced,How do different RL algorithms perform on adaptive traffic signal control under varying traffic patterns?,"Use SUMO simulator; model intersections as RL environments; compare DQN/A2C/PPO and reward designs","Python, RL libraries (Stable Baselines3), traffic simulation, operations research","Synthetic traffic demand scenarios; Open traffic network configurations","1-2: Scoping & lit review; 3-5: Data integration & baseline; 6-8: Advanced modeling; 9-10: Cross-scenario comparisons; 11-12: Write & submit","RL code, simulation scenarios, traffic metrics, 10-12 page paper","Intelligent transportation/engineering AI venues; IEEE CogMI; AI & transportation workshops",35-45%,"RL for traffic signal control surveys; DQN/A2C/PPO papers","Integrating RL with traffic simulators; Ensuring computational tractability",Multi-algorithm comparison in recognized benchmark domain with open code
Biology,Solo,1,Classifying Cell Types from Single-Cell RNA-Seq with Lightweight Models,Intermediate,How well can lightweight models classify single-cell types compared to more complex deep models on standard scRNA-seq datasets?,"Use existing scRNA-seq datasets; perform normalization and feature selection; benchmark classical and shallow deep models; analyze confusion between similar cell types","Python, pandas, scikit-learn, basic deep learning, familiarity with gene expression matrices","Tabula Muris (via GEO), PBMC3k (10x Genomics), Human Cell Atlas subsets","1-2: Read scRNA-seq tutorials & setup; 3-4: Load/clean dataset & EDA; 5-7: Train/evaluate classical & shallow NN; 8-9: Extend to second dataset; 10: Error & feature-importance analysis; 11-12: Write & submit","Reproducible notebooks, trained models, performance tables, 4-6 page paper","BIOKDD; IEEE BIBM DLB2H workshop; Hellenic Bioinformatics Data Science conference",35-50%,"Seurat or Scanpy scRNA-seq analysis papers; Surveys on ML for single-cell analysis","High dimensionality of gene expression data; Batch effects between datasets",Provides careful reproducible comparison of simple models filling niche between complex methods and practitioner needs
Biology,Solo,2,Predicting Protein Subcellular Localization from Sequence,Intermediate,Can simple sequence encodings and shallow neural networks approach performance of complex architectures for subcellular localization prediction?,"Encode protein sequences (one-hot, k-mer, embeddings from ESM-mini); train classifiers; compare to published baselines on held-out proteins","Python, basic sequence processing, scikit-learn/PyTorch","UniProt localization-annotated subsets, DeepLoc benchmark datasets","1-2: Literature review & dataset selection; 3-4: Build preprocessing & encodings; 5-7: Train & tune models; 8-9: Compare against baselines; 10: Analyze errors by protein family; 11-12: Write & polish","Sequence-based models, scripts, comparative results, 4-6 page paper","WABI; BIOKDD; MLSB",35-45%,"DeepLoc and similar protein localization papers; Intro to protein language models (ESM)","Handling sequence length differences; Avoiding train-test leakage by homology",Offers transparent baseline and analysis for well-defined prediction problem
Biology,Solo,3,CNN-Based Classification of Retinal Fundus Images for Diabetic Retinopathy,Intermediate-Advanced,"What is the performance of small CNN architectures on diabetic retinopathy classification, and which data augmentation strategies most improve robustness?","Use public fundus image datasets; train small CNNs and transfer-learning models; systematically vary augmentations and report performance","Python, PyTorch/TensorFlow, image preprocessing","Kaggle Diabetic Retinopathy dataset, APTOS 2019 Blindness Detection, Messidor","1-2: Read medical imaging ML basics & setup; 3-4: Load/clean data & define labels; 5-7: Train baseline & TL models; 8-9: Augmentation experiments & robustness; 10: Error analysis; 11-12: Write & submit","Models, augmentation study, ROC/PR curves, 6-8 page paper","IEEE EMBS BHI; DLB2H at BIBM; AI for healthcare/med-imaging workshops",35-45%,"Kaggle-winning DR solutions; Deep learning in retinal imaging surveys","Class imbalance (few severe cases); Noisy labels and domain shift",Focused rigorous augmentation and robustness study on DR for workshop publication
Biology,Solo,4,Ecological Species Distribution Modeling with ML,Intermediate,How do ML models compare to classical ecological niche models for predicting species distributions under current climate conditions?,"Use public species occurrence data and climate variables; compare ML to MaxEnt-style baseline; analyze feature importances and spatial patterns","Python, scikit-learn, basic GIS (rasterio/geopandas)","GBIF species occurrence data, WorldClim climate layers","1-2: Read SDM literature & choose species; 3-4: Data download/cleaning & feature construction; 5-7: Train classical & ML models with cross-validation; 8-9: Spatial projections & map visualizations; 10: Sensitivity analysis; 11-12: Write & polish","Trained models, SDM maps, 4-6 page paper","Interdisciplinary AI for Sustainability workshops; BIOKDD; CompBio/MLCB workshops",35-50%,"MaxEnt-based SDM methods; ML in species distribution modeling surveys","Dealing with sampling bias; Spatial autocorrelation affecting evaluation",Bridges ecology and ML with clear applied impact and reproducible pipelines
Biology,Solo,5,Predicting Antibiotic Resistance from Bacterial Genomes,Advanced,Can k-mer or gene-presence features from bacterial genomes predict antibiotic resistance phenotypes with high accuracy using classical ML?,"Use public genome-phenotype datasets; extract features; train classifiers; interpret important k-mers/genes","Python, basic bioinformatics (FASTA handling), scikit-learn","PATRIC or NCBI pathogen resistance datasets; Published AMR study collections","1-2: Literature review on AMR ML; 3-4: Data download & feature extraction; 5-7: Model training & cross-validation; 8-9: Interpretability & feature analysis; 10: Evaluate generalization across strains; 11-12: Write & revise","Preprocessing scripts, classifiers, feature-importance plots, 6-8 page paper","DLB2H at BIBM; BIOKDD; MLSB",30-45%,"AMR prediction from genomes using ML; Surveys on computational AMR","Large feature spaces and overfitting; Confounding factors (hospital vs community)",Tackles high-impact biomedical problem with ML on real genomic data offering interpretable insights
Biology,Pair,1,Survival Analysis for Cancer Patients with Deep Learning vs Classical Methods,Advanced,Do deep survival models significantly outperform Cox proportional hazards and random survival forests on public cancer cohorts?,"Use TCGA-like survival datasets; compare classical and deep survival models; evaluate C-index and calibration","Python, lifelines/survival analysis, PyTorch, basic statistics","TCGA clinical + gene expression; METABRIC","One: data preprocessing & classical models; Other: deep survival models & tuning; Both: analysis","Benchmark code, performance metrics, 6-8 page paper","DLB2H (BIBM); BIOKDD; Biomedical AI workshops",35-45%,"DeepSurv paper; Cox model and random survival forest references","Dealing with censored data; High-dimensional features",Solid comparative study bringing deep and classical survival modeling together on open data
Biology,Pair,2,Multi-Omics Integration for Cancer Subtype Clustering,Advanced,Does integrating multiple omics improve unsupervised clustering of cancer subtypes compared to single-omics clustering?,"Use TCGA multi-omics; implement concatenation and simple multi-view clustering; evaluate against known subtypes","Python, unsupervised learning (k-means, spectral clustering), dimensionality reduction","TCGA multi-omics (via GDC), curated multi-omics benchmarks","One: data integration pipeline; Other: clustering & evaluation","Clustering pipeline, silhouette/subtype metrics, 6-8 page paper","BIOKDD; CompBio/ML for Genomics workshops",35-45%,"Multi-omics clustering methods; TCGA subtype discovery studies","Handling missing data across omics; Choosing appropriate similarity measures",Multi-omics integration remains challenging; clear empirical comparison of simple strategies is useful
Biology,Pair,3,Deep Learning for Skin Lesion Classification with Class Imbalance Handling,Intermediate-Advanced,Which imbalance-handling strategies most help in skin lesion classification tasks?,"Use dermoscopy datasets; train CNNs; compare imbalance strategies (re-sampling, focal loss, class-weighting)","Python, PyTorch/TensorFlow, image ML, basic metrics","ISIC challenge datasets, HAM10000","One: data & imbalance methods; Other: modeling & training","Models, imbalance-method comparison, 6-8 page paper","Med-image AI workshops; BHI; DLB2H",35-50%,"ISIC challenge top solutions; Focal loss paper","Overfitting minority classes; Evaluating clinically meaningful metrics",Directly addresses practical under-explored aspect (imbalance) in popular dataset
Biology,Pair,4,NLP for Classifying Biomedical Abstracts by Study Type,Intermediate,How accurately can transformer-based models classify PubMed abstracts into study types compared to simpler baselines?,"Use existing labeled corpora; fine-tune transformers; compare to TF-IDF + SVM; analyze confusion between study types","Python, Hugging Face Transformers, text preprocessing","PubMed RCT and study-type labeled datasets","One: data & baselines; Other: transformer modeling","Classifiers, performance tables, 6-8 page paper","BIOKDD; DLB2H; Biomedical NLP workshops",40-50%,"BioBERT/BioClinicalBERT papers; Prior work on study-type classification","Domain shift across journals; Ambiguous abstracts",Helpful for evidence synthesis; applies strong NLP baselines to meaningful classification task
Biology,Pair,5,Time-Series Forecasting of Infectious Disease Incidence,Intermediate,Do deep sequence models outperform classical time-series models for short-term infectious disease forecasting?,"Use open incidence time-series at regional scales; compare LSTM/temporal CNN vs ARIMA/Prophet; analyze prediction horizons","Python, statsmodels/Prophet, PyTorch/Keras, time-series evaluation","CDC FluView-like time-series, WHO disease incidence datasets","One: classical models; Other: deep learning models","Forecasting scripts, evaluation plots, 6-8 page paper","Epidemiology/AI workshops; BIOKDD; AI for Science workshops",35-50%,"Influenza forecasting ML papers; LSTM-based epidemiological forecasting work","Non-stationarity and interventions; Data quality and reporting delays",Addresses high-interest public health task with clear comparative experiments
Biology,4-person,1,Comparative Benchmark of Gene Expression Normalization Methods for Downstream ML,Intermediate-Advanced,How do different normalization methods affect downstream classification and clustering performance on gene expression datasets?,"Use 2-3 RNA-seq datasets; apply multiple normalization schemes (TPM, FPKM, DESeq2, quantile); run classifiers/clustering; compare performance","Python/R, basic RNA-seq concepts, ML","TCGA expression matrices, GEO cancer datasets","1-2: Survey methods & pick datasets; 3-4: Implement pipelines & normalization; 5-7: Run ML tasks across normalizations; 8-9: Statistical comparisons & visualization; 10: Robustness checks; 11-12: Write & submit","Normalization + ML benchmark, 8-10 page paper","BIOKDD; WABI; Hellenic Bioinformatics",35-50%,"RNA-seq normalization method papers","Keeping pipeline consistent across datasets; Dealing with batch effects",Practical benchmarking of normalization's impact on ML tasks useful to bioinformatics practitioners
Biology,4-person,2,Multi-Task Learning for Predicting Multiple Drug Side Effects,Advanced,Can multi-task neural networks jointly predict multiple adverse drug reactions more accurately than separate single-task models?,"Use drug-ADR datasets; featurize drugs (molecular fingerprints/embeddings); build multi-task NN and compare to single-task","Python, cheminformatics (RDKit), deep learning","SIDER, FAERS-derived datasets, DrugBank-annotated ADR sets","1-2: Survey methods & pick datasets; 3-4: Implement pipelines; 5-7: Multi-task modeling; 8-9: Ablations & comparisons; 10: Analysis; 11-12: Write & submit","Multi-task models, ablations, 8-10 page paper","BIOKDD; ICML/NeurIPS AI for Science workshops",30-45%,"Multi-task learning for drug discovery papers","Highly imbalanced ADR labels; Correlations between ADRs",Multi-task approaches for ADR prediction remain active; well-designed comparative study is valuable
Biology,4-person,3,ML for Microbiome Data: Predicting Host Phenotypes from 16S Profiles,Intermediate,Which ML models and feature representations work best for predicting host traits from microbiome composition?,"Use 16S OTU/ASV tables; compare traditional ML and simple deep models; evaluate generalization","Python/R, microbiome basics, scikit-learn","Human Microbiome Project datasets, curatedMetagenomicData sets","1-2: Survey methods & datasets; 3-4: Data processing; 5-7: Model training; 8-9: Comparisons; 10: Robustness; 11-12: Write & submit","Benchmark code, performance analyses, 8-10 page paper","Hellenic Bioinformatics; BIOKDD; DLB2H",35-50%,"ML in microbiome studies surveys","Sparsity and compositionality of data; Confounders like diet and geography",Provides standardized ML baselines in complex but impactful domain
Biology,4-person,4,Structural Biology – Predicting Protein-Protein Interaction Interfaces,Advanced,Can simple ML models using sequence- and structure-derived features predict interface residues in protein-protein complexes?,"Use PDB complexes; compute features (solvent accessibility, conservation); train classifiers at residue-level","Python, basic structural bioinformatics, ML","Docking Benchmark datasets, BioLiP","1-2: Survey methods & datasets; 3-4: Feature computation; 5-7: Model training; 8-9: Evaluation; 10: Analysis; 11-12: Write & submit","Interface predictor, evaluation metrics, 8-10 page paper","MLSB; WABI",35-45%,"Prior PPI interface prediction methods","Preparing consistent structural features; Class imbalance (few interface residues)",Interface prediction is important; careful baseline with open code valuable for MLSB community
